country,gdi_2006,gdi_2007,gdi_2008,gdi_2009,gdi_2010,gdi_2011,gdi_2012,gdi_2013,gdi_2014,gdi_2015,gdi_2016,gdi_2017,gdi_2018,gdi_2019,gdi_2020,gdi_2021
Argentina,0.994,0.997,0.995,0.994,0.995,0.991,0.998,0.997,0.995,1.0,0.996,0.993,1.0,1.0,0.999,0.997
Central African Republic,0.75,0.754,0.759,0.764,0.776,0.778,0.784,0.784,0.794,0.788,0.795,0.805,0.807,0.808,0.806,0.81
Chile,0.945,0.947,0.95,0.958,0.961,0.961,0.965,0.964,0.967,0.965,0.966,0.965,0.968,0.966,0.968,0.967
Côte d'Ivoire,0.81,0.813,0.818,0.823,0.832,0.835,0.8,0.837,0.848,0.858,0.861,0.87,0.874,0.878,0.886,0.887
Colombia,0.974,0.993,0.988,0.992,0.991,0.99,0.991,0.993,0.989,0.991,0.991,0.991,0.992,0.991,0.98,0.984
Dominican Republic,0.956,0.962,0.966,0.97,0.983,0.989,0.997,0.994,0.993,1.004,1.001,1.006,1.009,1.013,1.015,1.014
Ghana,0.882,0.889,0.887,0.893,0.898,0.905,0.913,0.906,0.919,0.912,0.929,0.857,0.935,0.942,0.947,0.946
India,0.79,0.793,0.797,0.803,0.81,0.813,0.826,0.831,0.835,0.838,0.848,0.851,0.849,0.852,0.845,0.849
Jordan,0.866,0.866,0.865,0.865,0.869,0.87,0.871,0.872,0.874,0.876,0.887,0.887,0.89,0.886,0.888,0.887
Kenya,0.893,0.897,0.906,0.913,0.922,0.925,0.925,0.923,0.928,0.929,0.928,0.936,0.938,0.944,0.937,0.941
Mexico,0.939,0.941,0.943,0.948,0.953,0.954,0.953,0.951,0.952,0.954,0.957,0.959,0.963,0.971,0.982,0.989
Mozambique,0.867,0.871,0.878,0.883,0.892,0.893,0.901,0.911,0.918,0.924,0.919,0.912,0.917,0.919,0.921,0.922
Malawi,0.887,0.888,0.889,0.895,0.909,0.919,0.926,0.91,0.947,0.95,0.956,0.962,0.966,0.972,0.971,0.968
Pakistan,0.694,0.695,0.693,0.724,0.727,0.727,0.76,0.741,0.746,0.754,0.775,0.754,0.767,0.798,0.809,0.81
Philippines,0.945,0.946,0.944,0.943,0.95,0.951,0.973,0.975,0.978,0.979,0.982,0.981,0.983,0.985,0.986,0.99
Paraguay,0.945,0.949,0.954,0.954,0.953,0.966,0.977,0.97,0.971,0.976,0.974,0.971,0.981,0.986,0.986,0.99
Senegal,0.823,0.831,0.838,0.848,0.862,0.877,0.883,0.89,0.886,0.887,0.884,0.88,0.859,0.841,0.874,0.874
Togo,0.786,0.783,0.784,0.791,0.795,0.779,0.801,0.808,0.814,0.798,0.825,0.84,0.838,0.845,0.845,0.849
Turkey,0.859,0.863,0.875,0.9,0.891,0.907,0.913,0.917,0.922,0.919,0.927,0.93,0.936,0.939,0.937,0.937
Tanzania (United Republic of),0.902,0.905,0.906,0.906,0.921,0.925,0.945,0.932,0.934,0.936,0.938,0.939,0.941,0.944,0.943,0.943
Uruguay,1.007,1.01,1.01,1.011,1.014,1.02,1.02,1.017,1.018,1.018,1.021,1.018,1.019,1.02,1.019,1.022
Viet Nam,0.971,0.989,0.977,0.988,0.992,0.995,0.998,1.0,1.001,1.004,1.005,1.003,1.003,1.004,1.001,1.002
Zambia,0.871,0.878,0.89,0.895,0.913,0.92,0.929,0.933,0.941,0.95,0.954,0.993,0.993,0.966,0.965,0.965
Zimbabwe,0.887,0.882,0.892,0.908,0.926,0.945,0.945,0.942,0.942,0.942,0.946,0.952,0.952,0.955,0.959,0.961
